DrugID	Drug_Target
CHEMBL1256958	846
CHEMBL1256958	111
CHEMBL1256958	106707243
CHEMBL1256958	116
CHEMBL1256958	23365
CHEMBL1256958	104909134
CHEMBL1256958	11251
CHEMBL1256958	256933
CHEMBL1256958	1233
CHEMBL1256958	4887
CHEMBL1256958	2826
CHEMBL1256958	5367
CHEMBL1256958	796
CHEMBL1256958	2520
CHEMBL1256958	2831
CHEMBL1256958	6375
CHEMBL1256958	1909
CHEMBL1256958	4158
CHEMBL1256958	594857
CHEMBL1256958	6846
CHEMBL1256958	6915
CHEMBL1256958	4295
CHEMBL1256958	2641
CHEMBL1256958	7852
CHEMBL1256958	10636
CHEMBL1256958	259286
CHEMBL1256958	259287
CHEMBL1256958	152
CHEMBL1256958	2492
CHEMBL1256958	4988
CHEMBL1256958	9170
CHEMBL1256958	346562
CHEMBL1256958	6001
CHEMBL1256958	1132
CHEMBL1256958	2642
CHEMBL1256958	2912
CHEMBL1256958	259290
CHEMBL1256958	259294
CHEMBL1256958	6370
CHEMBL1256958	338442
CHEMBL1256958	1814
CHEMBL1256958	1133
CHEMBL1256958	50834
CHEMBL1256958	148
CHEMBL1256958	551
CHEMBL1256958	2925
CHEMBL1256958	146
CHEMBL1256958	1906
CHEMBL1256958	50838
CHEMBL1256958	3356
CHEMBL1256958	4129
CHEMBL1256958	3274
CHEMBL1256958	1910
CHEMBL1256958	129521
CHEMBL1256958	339403
CHEMBL1256958	2771
CHEMBL1256958	115557
CHEMBL1256958	8111
CHEMBL1256958	64106
CHEMBL1256958	133
CHEMBL1256958	5331
CHEMBL1256958	150
CHEMBL1256958	165140
CHEMBL1256958	9290
CHEMBL1256958	156
CHEMBL1256958	9630
CHEMBL1256958	4828
CHEMBL1256958	84109
CHEMBL1256958	2914
CHEMBL1256958	3061
CHEMBL1256958	2833
CHEMBL1256958	6865
CHEMBL1256958	10800
CHEMBL1256958	2740
CHEMBL1256958	1907
CHEMBL1256958	186
CHEMBL1256958	5540
CHEMBL1256958	2778
CHEMBL1256958	94233
CHEMBL1256958	23566
CHEMBL1256958	5030
CHEMBL1256958	1269
CHEMBL1256958	3062
CHEMBL1256958	5737
CHEMBL1256958	2869
CHEMBL1256958	1268
CHEMBL1256958	153
CHEMBL1256958	2832
CHEMBL1256958	2773
CHEMBL1256958	3351
CHEMBL1256958	4923
CHEMBL1256958	57413
CHEMBL1257015	6915
CHEMBL1257015	5473
CHEMBL126224	3269
CHEMBL1342	7915
CHEMBL1342	137872
